id,document,label
6060949,실화라서 더 안타까운 영화.. 대체적으로 인상깊지만 영화의 최고봉은 마성의 힐러리 스웽크다,긍정
8561008,영화에서 하지원 캐릭터가 진짜 신경질이난다.불필요한 캐릭터아녔나 싶다.극 흐름을 망치고 분위기도 다깨는 떽땍거리는 소리정말 영화를 꺼버리고싶을정도..(나 하지원 호감인데 이땐 아녔는듯싶다),긍정
9643685,재미없는데왤케가슴이먹먹하지,긍정
2436267,너무 뻔한 반전. 무거운 스토리.,부정
7694342,워낙 중세시대 얘기나 비밀스런얘기를 좋아하는데 정말 내스타일...악기연주보는 재미도 한몫햇고요 제이슨플레밍?젠틀맨리그나온남자 넘 매력적이에요ㅜ,긍정
8057009,완전 짜증나는 3류도 아닌 영화,부정
9254095,신기하고 감동적인...,긍정
9231209,도가 지나치게 재미없다,부정
4367920,개인적 어수선하고 우뢰매 생각이.. 난 2회에서 포기! 3회부터는 재미가 있을 지도!?,부정
8564619,* 뭔 얘기인지 도대체 모르겠다 .~~,부정
7345994,I wonder this movie.,긍정
8803061,남자판 꽃보다남자 엄청 잘생기지 않은 이상 복학생은 저럴일 없다.,부정
10205264,엄마랑보러갔다가 죽는줄...,부정
4261644,"기대감도 없었는데 실망감과 허탈함이,.,..",부정
278813,시퀄이 나왔다는게 믿기지 않는 조잡한 영화,부정
8554511,출연 여배우들이 이뻐서 2점줌 ㅇㅇ;;; 나머진 0점이 아까움,부정
8715454,배우들이 아깝다. 정크무비.,부정
10249971,"시도해 볼만한 소재이고 두 배우 역시 매력적이지만, 너무 구닥다리 이야기에 쓸모없는 반전과 긴장감을 전혀 느낄 수 없는 진행 그리고 웃음을 유발하는 어색한 대사와 뻣뻣하기 그지없는 연기까지 한국 영화의 퇴보를 알린다.",부정
9998598,아 너무하네 10자채우기도 짱나네,부정
5600547,코미디?? 농담아니고 어떠한 씬에서도 웃은 적 없었다..,부정
9752252,"김혜자의 춤으로 시작해서 춤으로 끝나고, 삐뚤어진 모성애를 그린 영화...반전이 없는게 반전",긍정
5786365,전작들에 의한 기대탓인지 너무 실망스러웠다,부정
7331679,이편까지 완전 좀비영화(명작)급 수준,긍정
9604224,후덜덜... 난해하다,부정
9971680,평론가들 평가봐라.ㅎ 니들이 감히 평가할 수 있는 작품이아니란다. 얘들아.,긍정
6432214,평점이 왜 이거 밖에 안돼?,긍정
5483262,가요(k-pop)은 점점 죽어간다 ..,부정
7050931,무각본이라 그런지 어색하고 지루하면도 있어서 재미없었음.. 끝까지 보려고 했는데 포기 달달한 장면도 딱히 없고 내용이 너무 두서가 없음 보다만 영화는 처음임..,부정
4069119,오랜만에 영화다운 영화를 감상했네요. 뭔가 생각할수 있는 영화.,긍정
8367532,답이없다.. 성우를 애들한테 시키냐..,부정
7713011,예전에봤지만 지금생각해도 더럽게재미없다..,부정
5661543,이런 영화가 참 좋다.,긍정
9644233,와우. 역시 알파치노♥ 그당시엔 흔치않은 타임슬립 반전결말! 명대사! 신은 사디스트. 허영은 내 최고의 기호품!,긍정
6330369,주변사람들에게 강추하고 싶은 영화,긍정
9589241,고위층 별장성관계를 모티브로 만들었나 본데...성괴들이 연기도 어색하고 진짜 수준이하네.,부정
8005157,"정말 기대했던 퓨전 쿵푸영화였습니다. 중간 중간 애니와 rpg게임같은 설정등이 좋았는데, 진행이 너무 느슨하고 액션도 박력도 없고 재미도 없고. 도대체가 제가 뭘 보고 있나 하면서 한숨이 나왔습니다. 정말 쿵품 액션영화를 보신다면 꼭 견자단의 영화만!",부정
6925043,"싸이킥에 오컬트를 더한것도 끌고가기 벅찬데, 살인교사,전문직,수호령,복선에 반전까지 더하려니 아주 맛이 가관이다..연기를 썩 잘하는 배우들은 아니지만, 배우가 아깝다는 생가이 심히 든다..",부정
10184977,"겪어보지 않아서, 보지 못했어서 몰랐다. 인종차별이 흑인들에게 일제치하의 조선인들과도 견줄만한, 더 할지도 모르는 아픔이었다는 것을. 마틴루터킹이 왜 존경받는지도 진심으로는 몰랐다 이 영화를 보기 전까진.",긍정
8252587,희망적인 게 없다...,부정
9232982,3부작으로 된 정식 버전은 과연 명작이군요.,긍정
7303995,어제소설로처음봣는데너무재밋어요ㅠㅠㅠㅠㅠ영화로진짜보고싶내요퓨ㅠㅠㅠㅠ,긍정
9247488,사람들은 액션신에 반하고 나는 스토리에 화내고,부정
9471301,칼날이빨보리스나오네요,부정
7571904,진심...정말 여운도없고 재미도없고 감동도없음 그냥보지마세요 정말 왜이렇게 평점이높은지 모르겟네,부정
7575033,빨리 끝나게 해주세요..작가님은 아침드라마라는걸 잊고 계신가요? 드라마의 의도를 생각하세요,부정
9333858,재미도 없고 감동도 없고 공감 안가는 스토리에 배우가 아깝다.,부정
9090494,이건 진짜 명작이지 ㅋㅋㅋ 지금 다시 봐도 어설프지 않은 CG!!,긍정
9967623,"기이하고 독특하긴 하지만, 그 기이한 소재에만 너무 매몰 된 듯... 이야기의 쪼임이 아쉽다.",긍정
7576245,시간이 아까운 영화..차라리 용가리가 100배가 더 재밌는듯...,부정
2138498,내가 찾던 진정한 메카닉 에니메이션이다!!! 음악도 굿!!!~,긍정
9398485,거품 평점 거품 평점 거품 평점,부정
9574237,웃김ㅋㅋ진짜ㅋㅋㅋㅋ피아노 공연장에서 남자 주인공ㅋㅋㅋ골때리는 영화임,긍정
5306337,와정말재밋네요...,긍정
9453068,"나이 어린, 이십대 초반분들, 꼭 보시라...좀 옛날영화가 되었지만...미국 명배우 , 잭 니콜슨도 보고,,,,숨쉬는 공기....느껴보라구요..",긍정
4422617,진심 초등학생이 스토리써도 더재밌을듯,부정
9816704,어설픈 CG덕분에 몰입이 방해.,부정
8100745,"감독, 제작자나 한가인 남편이 나쁜 사람들이라고 생각하진 않습니다.다음 번엔 조금만 더 잘해보자구요",부정
3149092,"MBC 의 파업을 지지하며, 언론의 사회적 기능에 다시한번 관심을 가지게 됩니다!",긍정
7074998,드럽게재미없어ㅡㅡ별점한개도아깝다,부정
1613780,이 정도는 되어야 삐급 최고라고 할 수 있지 않을까,긍정
